                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.73474,                0.43078,                0.87801,                0.95118,                0.91789,                0.95807,                0.72734,                0.83707,                0.46315,                0.90605,             0.00012731,             0.00012731,             0.00012731
                     86,                0.72064,                0.43573,                0.87415,                0.95774,                0.92163,                0.95709,                0.72142,                0.84549,                0.45938,                0.90703,             0.00012024,             0.00012024,             0.00012024
                     87,                0.71473,                0.42783,                0.87859,                0.95906,                0.92223,                0.95347,                0.72867,                0.83195,                 0.4474,                 0.9039,             0.00011317,             0.00011317,             0.00011317
                     88,                0.71132,                0.41538,                0.86824,                0.93694,                0.93189,                0.94911,                0.73145,                0.82153,                0.44887,                0.90098,              0.0001061,              0.0001061,              0.0001061
                     89,                0.71193,                0.43158,                0.87084,                0.93882,                0.93502,                0.95652,                0.73115,                 0.8249,                0.44739,                0.90353,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.71003,                   0.42,                0.87087,                0.93523,                0.94277,                0.96218,                0.73325,                0.82467,                 0.4414,                0.90385,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.69717,                0.39258,                0.85984,                0.93738,                0.93448,                0.96068,                 0.7305,                 0.8296,                0.43997,                0.90869,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.68419,                 0.3846,                 0.8645,                0.93387,                0.93887,                0.95757,                0.72804,                0.82994,                0.44356,                0.90688,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.68454,                 0.3827,                0.85436,                 0.9423,                0.92977,                0.95532,                0.72738,                0.82301,                 0.4405,                0.90242,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.67353,                 0.3821,                 0.8565,                0.94386,                0.92661,                 0.9594,                0.73098,                0.82061,                0.44268,                0.90197,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                 0.6763,                0.38009,                0.85489,                0.94037,                0.92895,                0.95817,                0.73361,                0.81751,                0.44013,                0.89983,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.66733,                0.37486,                0.85737,                0.94495,                0.92722,                0.95838,                0.73358,                0.81996,                0.43853,                0.90263,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.67147,                0.37112,                0.85826,                0.93423,                0.93518,                0.95674,                0.73412,                0.81317,                0.43983,                0.89828,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.66314,                0.37066,                0.85314,                0.94188,                0.93045,                0.95563,                0.73091,                0.81766,                0.43909,                0.90051,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.66638,                0.36785,                0.85438,                0.96386,                0.91438,                 0.9572,                0.73608,                0.81199,                0.43856,                0.89754,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.66201,                 0.3672,                0.85552,                0.96176,                0.91482,                0.95701,                0.73636,                0.81221,                0.43516,                0.89945,             2.1277e-05,             2.1277e-05,             2.1277e-05
